X,Y,object_id,id,description,code_esirius,www_photo,type,commune,code_officiel_geographique,adresse,code_postal,ville,tel,fax,horaires,has_dab_interne,has_dab_externe,has_conseiller_financier,has_conseiller_telecom,has_conseiller_polyvalent,global_id,has_conseiller_postal,created_user,created_date,last_edit_user,last_edited_date
281805.850000001,348277.664000001,1012,4305,Agence de KONE,site13,,Agence,KONE,98811,23 AVENUE DE KONIAMBO,98859,KONE,202250,472555,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,1,1,1,{16899592-68B8-4954-8245-147C988F8A69},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
530641.6171,364776.7653,1013,4307,Agence de LIFOU WE,site36,,Agence,LIFOU WE,98814,QANONO - VILLAGE DE WE,98820,WE,206284,431300,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",0,1,1,1,1,{E39B9DD2-2C3C-4423-A1F6-15482B647697},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
546448.801100001,344306.6357,1014,4162,Agence de LIFOU MOU,,,Annexe,LIFOU MOU,98814,VILLAGE DE MOU,98820,LIFOU,206502,450524,"LU : 08:30-11:30
MA : 08:30-11:30
ME : 00:00-00:00
JE : 08:30-11:30
VE : 08:30-11:30
SA : 
DI :",0,0,0,0,0,{1A8B77F4-009E-42DB-80B7-972EA3AD2AE8},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
519622.075599998,379050.9253,1015,4161,Agence de LIFOU CHEPENEHE,site42,,Annexe,LIFOU CHEPENEHE,98814,VILLAGE DE CHEPENEHE,98820,WE,206501,451874,"LU : 08:15-11:30/12:15-15:00
MA : 08:15-11:30/12:15-15:00
ME : 08:15-11:30/12:15-15:00
JE : 08:15-11:30/12:15-15:00
VE : 08:15-11:30/12:15-15:00
SA : 
DI :",1,0,0,0,0,{040F6AA9-38E2-4589-9AC4-BAE90D21B564},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
422331.963500001,242663.055600001,1016,4324,Agence de TONTOUTA AEROPORT,site20,,Annexe,TONTOUTA AEROPORT,98821,Lot 138 ALLEE PAUL KLEIN,98840,TONTOUTA,351655,,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 
DI :",0,1,0,0,0,{89114904-B3BF-4F5B-9269-F8F9DD85C56C},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
594845.526600003,293680.7009,1017,4308,Agence de MARE TADINE,site32,,Agence,MARE TADINE,98815,VILLAGE DE TADINE,98828,TADINE,267180,454141,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,0,0,0,{32D16397-5D6A-48FF-8786-1F4AD0174157},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
193612.689999998,439082.6183,1018,4172,Agence de POUM,site30,,Agence,POUM,98826,Lot 11PIE,98826,POUM,206515,476655,"LU : 07:45-11:15/12:15-15:00
MA : 07:45-11:15/12:15-15:00
ME : 07:45-11:15/12:15-15:00
JE : 07:45-11:15/12:15-15:00
VE : 07:45-11:15/12:15-15:00
SA : 
DI :",1,0,0,0,0,{BEE75B3A-179C-4915-855C-77DCAA8FE288},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
285727.268100001,341271.701099999,1019,4321,Agence de POUEMBOUT,site29,,Agence,POUEMBOUT,98825,Lot 3,98825,POUEMBOUT,472102,472500,"LU : 07:45-11:15/12:15-15:00
MA : 07:45-11:15/12:15-15:00
ME : 07:45-11:15/12:15-15:00
JE : 07:45-11:15/12:15-15:00
VE : 07:45-11:15/12:15-15:00
SA : 
DI :",1,0,0,0,0,{D7CBD35A-D772-4087-A9CA-59D76E6CAC5A},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
330479.955399998,362093.436799999,1020,4319,Agence de POINDIMIE,site15,,Agence,POINDIMIE,POINDIMIE,Lot 22,98822,POINDIMIE,426800,427373,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",0,1,1,1,1,{37CC6FC8-31C4-4052-B46E-202E25FF6B51},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
237294.146600001,427221.3313,1021,4315,Agence de OUEGOA,site28,,Agence,OUEGOA,OUEGOA,Lot 51PARTIE V.U.12,98821,OUEGOA,206514,476414,"LU : 07:45-11:15/12:15-15:00
MA : 07:45-11:15/12:15-15:00
ME : 07:45-11:15/12:15-15:00
JE : 07:45-11:15/12:15-15:00
VE : 07:45-11:15/12:15-15:00
SA : 
DI :",1,0,0,0,0,{A7672D93-4A07-46E5-898A-267BC5DC9E6C},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
